timestamp,model,modalidad,algorithm,elapsed_s,peak_ram_MB
2026-07-04T14:11:59.478818,clip,texto,BAT,62.9396,165.96
2026-07-04T14:11:59.514779,clip,texto,CSCLP,3.1073,158.5
2026-07-04T14:11:59.519799,clip,texto,Kmedoids,2.6544,151.96
2026-07-04T14:11:59.523771,clip,texto,ACO,108.133,167.0
2026-07-04T14:11:59.527800,clip,texto,PSO,7.4603,152.14
2026-07-04T14:11:59.532775,clip,texto,HCAKC,14.9462,165.86
2026-07-04T14:11:59.537777,clip,texto,KM-MILP,9.415,162.74
2026-07-04T14:11:59.541773,clip,texto,SCK1,2.1838,158.79
2026-07-04T14:14:08.654553,clip,texto,BAT,83.3297,167.26
2026-07-04T14:14:08.665999,clip,texto,CSCLP,3.4821,159.72
2026-07-04T14:14:08.669018,clip,texto,Kmedoids,2.9425,152.71
2026-07-04T14:14:08.671998,clip,texto,ACO,118.3739,169.02
2026-07-04T14:14:08.692840,clip,texto,PSO,17.4891,155.04
2026-07-04T14:14:08.695851,clip,texto,HCAKC,22.9029,166.69
2026-07-04T14:14:08.697853,clip,texto,KM-MILP,9.0599,161.68
2026-07-04T14:14:08.698857,clip,texto,SCK1,3.6341,161.72
2026-07-04T14:15:39.178895,clip,texto,BAT,42.6923,167.09
2026-07-04T14:15:39.189938,clip,texto,CSCLP,4.6803,158.64
2026-07-04T14:15:39.192929,clip,texto,Kmedoids,4.4752,152.45
2026-07-04T14:15:39.194949,clip,texto,ACO,83.8081,167.82
2026-07-04T14:15:39.196928,clip,texto,PSO,16.2201,153.42
2026-07-04T14:15:39.198927,clip,texto,HCAKC,21.9573,167.46
2026-07-04T14:15:39.200929,clip,texto,KM-MILP,6.8018,158.23
2026-07-04T14:15:39.202946,clip,texto,SCK1,3.4495,158.67
2026-07-04T14:20:21.583407,clip,texto,BAT,193.1554,173.45
2026-07-04T14:20:21.594945,clip,texto,CSCLP,50.107,163.07
2026-07-04T14:20:21.597945,clip,texto,Kmedoids,42.7879,157.82
2026-07-04T14:20:21.599946,clip,texto,ACO,276.2322,176.13
2026-07-04T14:20:21.601947,clip,texto,PSO,67.0415,158.27
