Modelo,Dataset,Algoritmo,ARI,AMI,NMI,Silhouette
CLIP,20ng_2classes,BAT,0.0085,0.0048,0.0052,0.1597
CLIP,20ng_3classes,BAT,0.2543,0.2336,0.2341,0.0936
CLIP,20ng_5classes,BAT,0.2465,0.2458,0.2466,0.0335
CLIP,ag_news_4k,BAT,0.5672,0.5336,0.534,0.0345
CLIP,bbc_news,BAT,0.7466,0.7296,0.7302,0.0527
CLIP,fashion_mnist_5k,BAT,0.4819,0.596,0.5975,0.1943
CLIP,mnist_5k,BAT,0.386,0.4923,0.4941,0.1305
CLIP,orl_faces,BAT,0.5947,0.7016,0.8248,0.2298
CLIP,20ng_2classes,CSCLP,0.0061,0.0063,0.0067,0.1408
CLIP,20ng_3classes,CSCLP,0.3367,0.3458,0.3462,0.0866
CLIP,20ng_5classes,CSCLP,0.303,0.3476,0.3483,0.0621
CLIP,ag_news_4k,CSCLP,0.3054,0.3034,0.304,0.0365
CLIP,bbc_news,CSCLP,0.3544,0.3981,0.3994,0.0283
CLIP,fashion_mnist_5k,CSCLP,0.4178,0.5283,0.5299,0.1758
CLIP,mnist_5k,CSCLP,0.4091,0.4845,0.4863,0.1592
CLIP,orl_faces,CSCLP,0.7033,0.7864,0.8746,0.3253
CLIP,20ng_2classes,K-MEDOIDS,0.0085,0.0083,0.0087,0.0239
CLIP,20ng_3classes,K-MEDOIDS,0.0044,0.004,0.0046,-0.0461
CLIP,20ng_5classes,K-MEDOIDS,0.0084,0.0125,0.0136,-0.0818
CLIP,ag_news_4k,K-MEDOIDS,0.039,0.0426,0.0434,-0.0581
CLIP,bbc_news,K-MEDOIDS,0.0464,0.0673,0.0694,-0.0815
CLIP,fashion_mnist_5k,K-MEDOIDS,0.0221,0.0469,0.0502,-0.0578
CLIP,mnist_5k,K-MEDOIDS,0.0241,0.0514,0.0547,-0.0898
CLIP,orl_faces,K-MEDOIDS,-0.0009,-0.0024,0.4113,-0.1986
CLIP,20ng_2classes,ACO,0.0103,0.006,0.0064,0.1356
CLIP,20ng_3classes,ACO,0.4154,0.3615,0.3619,0.0474
CLIP,20ng_5classes,ACO,0.2323,0.2304,0.2312,0.0157
CLIP,ag_news_4k,ACO,0.4418,0.4056,0.4061,0.0176
CLIP,bbc_news,ACO,0.6402,0.5916,0.5925,0.0333
CLIP,fashion_mnist_5k,ACO,0.3342,0.3992,0.4013,0.0891
CLIP,mnist_5k,ACO,0.2543,0.3135,0.3159,0.0485
CLIP,orl_faces,ACO,0.4691,0.5714,0.7483,0.0914
CLIP,20ng_2classes,PSO,-0.0007,-0.0003,0.0002,0.0097
CLIP,20ng_3classes,PSO,0.0052,0.0048,0.0054,-0.0082
CLIP,20ng_5classes,PSO,-0.0001,-0.0001,0.001,-0.0176
CLIP,ag_news_4k,PSO,0.0027,0.003,0.0038,-0.0078
CLIP,bbc_news,PSO,0.003,0.004,0.0062,-0.0204
CLIP,fashion_mnist_5k,PSO,0.2719,0.4354,0.4374,-0.0445
CLIP,mnist_5k,PSO,0.1898,0.3585,0.3608,-0.0625
CLIP,orl_faces,PSO,0.1662,0.3057,0.5922,-0.1764
CLIP,20ng_2classes,HCAKC,-0.0004,-0.0004,0.0,0.0004
CLIP,20ng_3classes,HCAKC,0.0001,0.0001,0.0007,-0.003
CLIP,20ng_5classes,HCAKC,-0.0004,-0.0006,0.0005,-0.0056
CLIP,ag_news_4k,HCAKC,0.0024,0.0026,0.0034,-0.0063
CLIP,bbc_news,HCAKC,0.0003,0.0002,0.0024,-0.0098
CLIP,fashion_mnist_5k,HCAKC,1.0,1.0,1.0,0.1494
CLIP,mnist_5k,HCAKC,1.0,1.0,1.0,0.1217
CLIP,orl_faces,HCAKC,1.0,1.0,1.0,0.3667
CLIP,20ng_2classes,KM-MILP,0.0017,0.0024,0.0028,0.1475
CLIP,20ng_3classes,KM-MILP,0.4153,0.417,0.4174,0.1103
CLIP,20ng_5classes,KM-MILP,0.2104,0.3027,0.3035,0.0786
CLIP,ag_news_4k,KM-MILP,0.6344,0.6052,0.6055,0.0418
CLIP,bbc_news,KM-MILP,0.8684,0.8323,0.8327,0.0692
CLIP,fashion_mnist_5k,KM-MILP,0.5194,0.615,0.6164,0.235
CLIP,mnist_5k,KM-MILP,0.3505,0.4309,0.433,0.1569
CLIP,orl_faces,KM-MILP,0.6357,0.7519,0.8543,0.3022
CLIP,20ng_2classes,SCK1,0.1217,0.1005,0.1009,0.0377
CLIP,20ng_3classes,SCK1,0.2727,0.2359,0.2364,0.0362
CLIP,20ng_5classes,SCK1,0.0727,0.0906,0.0916,0.0154
CLIP,ag_news_4k,SCK1,0.1449,0.1552,0.1558,0.0117
CLIP,bbc_news,SCK1,0.2172,0.2857,0.2873,-0.022
CLIP,fashion_mnist_5k,SCK1,0.2888,0.4048,0.407,0.0911
CLIP,mnist_5k,SCK1,0.2524,0.3462,0.3485,0.0828
CLIP,orl_faces,SCK1,0.3975,0.5262,0.7218,0.1294
