Modelo,Dataset,Algoritmo,ARI,AMI,NMI,Silhouette
QWEN_VL,20ng_2classes,BAT,0.0089,0.0051,0.0055,0.1217
QWEN_VL,20ng_3classes,BAT,0.5053,0.4507,0.4511,0.1967
QWEN_VL,20ng_5classes,BAT,0.2269,0.2628,0.2636,0.0893
QWEN_VL,ag_news_4k,BAT,0.6411,0.5996,0.6,0.215
QWEN_VL,bbc_news,BAT,0.7069,0.6991,0.6998,0.2303
QWEN_VL,fashion_mnist_5k,BAT,0.3292,0.4775,0.4794,0.1039
QWEN_VL,mnist_5k,BAT,0.1301,0.2358,0.2385,0.0961
QWEN_VL,orl_faces,BAT,0.2463,0.3823,0.6372,0.0502
QWEN_VL,20ng_2classes,CSCLP,0.117,0.0967,0.0971,0.1771
QWEN_VL,20ng_3classes,CSCLP,0.6258,0.5571,0.5574,0.2503
QWEN_VL,20ng_5classes,CSCLP,0.2439,0.2989,0.2997,0.1624
QWEN_VL,ag_news_4k,CSCLP,0.5925,0.5618,0.5621,0.2126
QWEN_VL,bbc_news,CSCLP,0.6837,0.7081,0.7088,0.2669
QWEN_VL,fashion_mnist_5k,CSCLP,0.3561,0.469,0.4709,0.1529
QWEN_VL,mnist_5k,CSCLP,0.1176,0.1801,0.183,0.1469
QWEN_VL,orl_faces,CSCLP,0.2378,0.3732,0.6319,0.0776
QWEN_VL,20ng_2classes,K-MEDOIDS,0.0077,0.0076,0.008,0.0446
QWEN_VL,20ng_3classes,K-MEDOIDS,0.0145,0.0129,0.0135,-0.0347
QWEN_VL,20ng_5classes,K-MEDOIDS,0.0146,0.0187,0.0198,-0.0665
QWEN_VL,ag_news_4k,K-MEDOIDS,0.0047,0.0053,0.0061,-0.0288
QWEN_VL,bbc_news,K-MEDOIDS,0.0505,0.0665,0.0686,-0.0359
QWEN_VL,fashion_mnist_5k,K-MEDOIDS,0.0247,0.0529,0.0562,-0.1007
QWEN_VL,mnist_5k,K-MEDOIDS,0.0172,0.0348,0.0382,-0.122
QWEN_VL,orl_faces,K-MEDOIDS,0.0053,0.0142,0.421,-0.2353
QWEN_VL,20ng_2classes,ACO,0.0172,0.0106,0.011,0.112
QWEN_VL,20ng_3classes,ACO,0.3858,0.3305,0.331,0.1401
QWEN_VL,20ng_5classes,ACO,0.1111,0.1186,0.1196,0.0019
QWEN_VL,ag_news_4k,ACO,0.5089,0.4634,0.4639,0.1559
QWEN_VL,bbc_news,ACO,0.6465,0.5977,0.5986,0.1939
QWEN_VL,fashion_mnist_5k,ACO,0.2224,0.2968,0.2993,0.044
QWEN_VL,mnist_5k,ACO,0.0737,0.1242,0.1273,-0.0283
QWEN_VL,orl_faces,ACO,0.1366,0.2264,0.5456,-0.1356
QWEN_VL,20ng_2classes,PSO,0.0022,0.0009,0.0013,0.0204
QWEN_VL,20ng_3classes,PSO,0.0014,0.0013,0.0019,-0.0097
QWEN_VL,20ng_5classes,PSO,0.0003,0.0006,0.0016,-0.025
QWEN_VL,ag_news_4k,PSO,0.0028,0.003,0.0038,-0.0121
QWEN_VL,bbc_news,PSO,0.0031,0.0043,0.0065,-0.0235
QWEN_VL,fashion_mnist_5k,PSO,0.2083,0.3795,0.3817,-0.0789
QWEN_VL,mnist_5k,PSO,0.2358,0.4136,0.4157,-0.1045
QWEN_VL,orl_faces,PSO,0.131,0.2508,0.56,-0.2223
QWEN_VL,20ng_2classes,HCAKC,-0.0004,-0.0004,0.0,-0.0015
QWEN_VL,20ng_3classes,HCAKC,0.0001,0.0001,0.0007,-0.0063
QWEN_VL,20ng_5classes,HCAKC,-0.0004,-0.0006,0.0005,-0.0114
QWEN_VL,ag_news_4k,HCAKC,0.0024,0.0026,0.0034,-0.0086
QWEN_VL,bbc_news,HCAKC,0.0003,0.0002,0.0024,-0.0147
QWEN_VL,fashion_mnist_5k,HCAKC,1.0,1.0,1.0,0.1097
QWEN_VL,mnist_5k,HCAKC,1.0,1.0,1.0,-0.0368
QWEN_VL,orl_faces,HCAKC,1.0,1.0,1.0,0.0146
QWEN_VL,20ng_2classes,KM-MILP,0.117,0.0967,0.0971,0.182
QWEN_VL,20ng_3classes,KM-MILP,0.6898,0.6158,0.6161,0.2585
QWEN_VL,20ng_5classes,KM-MILP,0.2946,0.352,0.3527,0.1409
QWEN_VL,ag_news_4k,KM-MILP,0.6537,0.6118,0.6121,0.223
QWEN_VL,bbc_news,KM-MILP,0.7705,0.7562,0.7568,0.2892
QWEN_VL,fashion_mnist_5k,KM-MILP,0.3214,0.4631,0.465,0.153
QWEN_VL,mnist_5k,KM-MILP,0.11,0.1757,0.1786,0.1435
QWEN_VL,orl_faces,KM-MILP,0.2748,0.4109,0.654,0.1209
QWEN_VL,20ng_2classes,SCK1,0.1747,0.1447,0.1451,0.1525
QWEN_VL,20ng_3classes,SCK1,0.306,0.2842,0.2847,0.142
QWEN_VL,20ng_5classes,SCK1,0.0547,0.0695,0.0705,0.0431
QWEN_VL,ag_news_4k,SCK1,0.3064,0.3036,0.3042,0.1136
QWEN_VL,bbc_news,SCK1,0.4532,0.5131,0.5142,0.1636
QWEN_VL,fashion_mnist_5k,SCK1,0.1906,0.2926,0.2951,0.0288
QWEN_VL,mnist_5k,SCK1,0.0902,0.1602,0.1632,0.0399
QWEN_VL,orl_faces,SCK1,0.2083,0.3327,0.6081,0.0342
