timestamp,phase,model,modalidad,dataset,status,elapsed_s,harvested,missing,missing_algos
2026-07-04T14:12:01.029507,1,clip,texto,scotus,OK,129.2,8,0,
2026-07-04T14:14:09.603582,1,clip,texto,emotion,OK,128.2,8,0,
2026-07-04T14:15:40.058707,1,clip,texto,bbc_news,OK,90.1,8,0,
2026-07-04T14:20:22.501771,1,clip,texto,goemotions,OK,282.1,8,0,
2026-07-04T14:25:03.036901,1,clip,texto,patent,OK,280.2,8,0,
2026-07-04T14:30:03.060676,1,clip,texto,tweeteval_emoji,OK,299.6,8,0,
2026-07-04T14:36:16.430293,1,clip,texto,trec,OK,373.0,8,0,
2026-07-04T14:46:27.302567,1,clip,texto,20ng,OK,610.1,8,0,
2026-07-04T14:56:19.004871,1,clip,texto,ag_news,OK,591.3,8,0,
2026-07-04T15:07:29.572261,1,clip,texto,reuters_r10,OK,670.0,8,0,
2026-07-04T15:19:46.491115,1,clip,texto,sst5,OK,736.4,8,0,
2026-07-04T15:35:15.610463,1,clip,texto,meld_e,OK,928.6,8,0,
2026-07-04T15:51:31.396414,1,clip,texto,liar,OK,975.2,8,0,
2026-07-04T16:09:55.476184,1,clip,texto,dbpedia14,OK,1103.5,8,0,
2026-07-04T16:24:54.472113,1,clip,texto,yahoo,OK,898.4,8,0,
2026-07-04T16:25:44.291491,1,blip,texto,scotus,OK,49.4,8,0,
2026-07-04T16:26:57.536119,1,blip,texto,emotion,OK,73.0,8,0,
2026-07-04T16:28:19.599312,1,blip,texto,bbc_news,OK,81.8,8,0,
2026-07-04T16:32:28.458177,1,blip,texto,goemotions,OK,248.5,8,0,
2026-07-04T16:36:43.005956,1,blip,texto,patent,OK,254.2,8,0,
2026-07-04T16:41:08.194898,1,blip,texto,tweeteval_emoji,OK,264.8,8,0,
2026-07-04T16:46:42.739462,1,blip,texto,trec,OK,334.1,8,0,
2026-07-04T17:00:24.173100,1,blip,texto,20ng,OK,820.7,8,0,
2026-07-04T17:17:19.336158,1,blip,texto,ag_news,OK,1014.2,8,0,
2026-07-04T17:36:34.911986,1,blip,texto,reuters_r10,OK,1154.7,8,0,
2026-07-04T17:58:26.007107,1,blip,texto,sst5,OK,1310.1,8,0,
2026-07-04T18:24:30.707256,1,blip,texto,meld_e,OK,1566.2,8,0,
2026-07-04T18:55:21.968754,1,blip,texto,dbpedia14,OK,1850.0,8,0,
2026-07-04T19:26:12.854614,1,blip,texto,yahoo,OK,1849.3,8,0,
2026-07-04T21:40:39.927053,1,blip,texto,liar,OK,836.3,8,0,
2026-07-04T21:46:04.359728,1,qwen_vl,texto,scotus,OK,81.2,8,0,
2026-07-04T21:51:49.472267,1,qwen_vl,texto,emotion,OK,344.6,8,0,
2026-07-04T21:54:54.656435,1,qwen_vl,texto,bbc_news,OK,184.5,8,0,
2026-07-04T22:04:27.013489,1,qwen_vl,texto,goemotions,OK,571.7,8,0,
2026-07-04T22:14:12.110313,1,qwen_vl,texto,patent,OK,584.2,8,0,
2026-07-04T22:24:22.743335,1,qwen_vl,texto,tweeteval_emoji,OK,609.8,8,0,
2026-07-04T22:36:22.506915,1,qwen_vl,texto,trec,OK,719.0,8,0,
2026-07-04T23:14:37.620775,1,qwen_vl,texto,20ng,OK,2294.6,8,0,
2026-07-04T23:26:05.953161,1,qwen_vl,texto,ag_news,OK,687.8,8,0,
2026-07-04T23:38:26.296095,1,qwen_vl,texto,reuters_r10,OK,739.9,8,0,
2026-07-04T23:52:29.537383,1,qwen_vl,texto,sst5,OK,842.7,8,0,
2026-07-05T00:10:04.968976,1,qwen_vl,texto,meld_e,OK,1054.8,8,0,
2026-07-05T00:29:08.018642,1,qwen_vl,texto,liar,OK,1142.4,8,0,
2026-07-05T00:58:02.779725,1,qwen_vl,texto,dbpedia14,OK,1733.6,8,0,
2026-07-05T01:25:39.172847,1,qwen_vl,texto,yahoo,OK,1655.1,8,0,
2026-07-05T01:27:27.085932,1,internvl,texto,scotus,OK,107.4,8,0,
