algoritmo,elapsed_time_sec,total_ram_used_mib,peak_ram_mib,fecha,estado
Bat,19.7176,3.84,173.89,2026-05-07T04:42:56,OK
CSCLP,0.1885,5.65,167.13,2026-05-07T06:21:31,OK
Bat,7.1142,3.77,173.72,2026-05-07T06:33:35,OK
Bat,6.7206,3.89,173.13,2026-05-07T06:41:03,OK
CSCLP,0.1597,5.25,167.24,2026-05-07T06:51:47,OK
Kmedoids,0.2518,1.23,162.69,2026-05-07T15:19:45,OK
ACO,88.2605,3.21,173.89,2026-05-07T15:56:38,OK
PSO,0.8359,1.64,162.75,2026-05-07T22:05:02,OK
HCAKC,0.6391,1.25,162.55,2026-05-07T23:42:03,OK
KM-MILP,1.1668,5.91,167.03,2026-05-08T20:45:35,OK
SCK1,0.245,5.55,166.75,2026-05-08T21:27:10,OK
CSCLP,0.4111,7.88,149.88,2026-05-08T21:47:26,OK
HCAKC,0.1041,2.36,144.45,2026-05-08T21:47:26,OK
Kmedoids,0.2475,3.03,145.8,2026-05-08T21:47:26,OK
SCK1,0.2566,8.05,150.34,2026-05-08T21:47:26,OK
PSO,0.7347,3.93,146.4,2026-05-08T21:47:27,OK
KM-MILP,1.0885,8.43,151.06,2026-05-08T21:47:27,OK
Bat,9.4,3.87,155.82,2026-05-08T21:47:37,OK
ACO,37.4621,3.86,156.06,2026-05-08T21:48:05,OK
