"Function_Call","Elapsed_Time_sec","Total_RAM_Used_MiB","Peak_RAM_Used_MiB","Algoritmo","Fecha"
"source(archivo_algoritmo,local=TRUE)",2.94000000000005,14.7,36.9,"HCAKC.R",2026-03-30 13:17:43.594332
"source(archivo_algoritmo,local=TRUE)",4.64,16.6,34,"Kmedoids.R",2026-03-30 13:23:46.198023
"source(archivo_algoritmo,local=TRUE)",4.72,16.7,46.4,"CSCLP.R",2026-03-30 13:23:46.292699
"source(archivo_algoritmo,local=TRUE)",4.75,16.7,43.9,"SCK1_final.R",2026-03-30 13:23:46.399387
"source(archivo_algoritmo,local=TRUE)",4.84,16.7,34.1,"HCAKC.R",2026-03-30 13:23:46.479524
"source(archivo_algoritmo,local=TRUE)",5.19,16.7,57.6,"KM-MILP.R",2026-03-30 13:23:46.673341
"source(archivo_algoritmo,local=TRUE)",7.46,17.6,57.7,"PSO.R",2026-03-30 13:23:48.849591
"source(archivo_algoritmo,local=TRUE)",17.14,16.9,57.7,"Bat.R",2026-03-30 13:23:58.448362
"source(archivo_algoritmo,local=TRUE)",40.16,15.4,57.8,"ACO.R",2026-03-30 13:24:21.491554
"source(archivo_algoritmo,local=TRUE)",0.279999999998836,0.0999999999999943,11.2,"Kmedoids.R",2026-03-30 17:32:29.971005
"source(archivo_algoritmo,local=TRUE)",4.29,16.7,34,"Kmedoids.R",2026-03-30 17:33:09.454246
"source(archivo_algoritmo,local=TRUE)",4.42,16.7,43.8,"SCK1_final.R",2026-03-30 17:33:09.677173
"source(archivo_algoritmo,local=TRUE)",4.49,16.7,34.1,"HCAKC.R",2026-03-30 17:33:09.749452
"source(archivo_algoritmo,local=TRUE)",4.51,16.7,46.3,"CSCLP.R",2026-03-30 17:33:09.749785
"source(archivo_algoritmo,local=TRUE)",4.74,16.7,57.6,"KM-MILP.R",2026-03-30 17:33:09.944842
"source(archivo_algoritmo,local=TRUE)",6.46,17.6,57.8,"PSO.R",2026-03-30 17:33:11.538138
"source(archivo_algoritmo,local=TRUE)",14.38,16.8,57.7,"Bat.R",2026-03-30 17:33:19.406023
"source(archivo_algoritmo,local=TRUE)",32.86,15.4,57.8,"ACO.R",2026-03-30 17:33:37.8923
"source(archivo_algoritmo,local=TRUE)",3.94,16.7,34,"Kmedoids.R",2026-03-31 09:53:01.159063
"source(archivo_algoritmo,local=TRUE)",3.94,16.7,34.1,"HCAKC.R",2026-03-31 09:53:01.234019
"source(archivo_algoritmo,local=TRUE)",4.15,16.8,46.5,"CSCLP.R",2026-03-31 09:53:01.369866
"source(archivo_algoritmo,local=TRUE)",4.14,16.8,44.1,"SCK1_final.R",2026-03-31 09:53:01.440827
"source(archivo_algoritmo,local=TRUE)",4.37,16.8,57.7,"KM-MILP.R",2026-03-31 09:53:01.591206
"source(archivo_algoritmo,local=TRUE)",6.22,17.6,57.7,"PSO.R",2026-03-31 09:53:03.369196
"source(archivo_algoritmo,local=TRUE)",13.98,16.9,57.7,"Bat.R",2026-03-31 09:53:11.000749
"source(archivo_algoritmo,local=TRUE)",32.33,15.4,57.7,"ACO.R",2026-03-31 09:53:29.394752
